Date,Match,Result,Score,Competition
1964-11-14,Switzerland v Northern Ireland,W,2-1,FIFA World Cup
1974-11-13,Switzerland v Portugal,W,3-0,International Friendly
1977-03-30,Portugal v Switzerland,L,1-0,International Friendly
1936-03-17,Republic of Ireland v Switzerland,L,1-0,International Friendly
1948-12-05,Republic of Ireland v Switzerland,W,0-1,International Friendly
1975-05-10,Republic of Ireland v Switzerland,L,2-1,UEFA European Championship
1975-05-21,Switzerland v Republic of Ireland,W,1-0,UEFA European Championship
1973-06-22,Switzerland v Scotland,W,1-0,International Friendly
1976-04-07,Scotland v Switzerland,L,1-0,International Friendly
1970-04-22,Switzerland v Spain,L,0-1,International Friendly
1977-09-21,Switzerland v Spain,L,1-2,International Friendly
1972-04-26,Switzerland v Sweden,D,1-1,International Friendly
1974-06-09,Sweden v Switzerland,D,0-0,International Friendly
1976-10-10,Switzerland v Sweden,L,1-2,FIFA World Cup
1977-06-08,Sweden v Switzerland,L,2-1,FIFA World Cup
1993-03-17,Tunisia v Switzerland,W,0-1,International Friendly
1971-09-26,Switzerland v Turkey,W,4-0,International Friendly
1973-05-09,Switzerland v Turkey,D,0-0,FIFA World Cup
1973-11-18,Turkey v Switzerland,L,2-0,FIFA World Cup
1974-12-01,Turkey v Switzerland,L,2-1,UEFA European Championship
1975-04-30,Switzerland v Turkey,D,1-1,UEFA European Championship
2008-06-11,Switzerland v Turkey,L,1-2,UEFA European Championship
1994-09-06,Switzerland v United Arab Emirates,W,1-0,International Friendly
1980-12-18,Uruguay v Switzerland,L,4-0,International Friendly
1985-02-08,USA v Switzerland,D,1-1,International Friendly
1991-02-02,USA v Switzerland,W,0-1,Miami Cup
1994-01-21,USA v Switzerland,D,1-1,International Friendly
1975-10-12,Switzerland v Russia,L,0-1,UEFA European Championship
1975-11-12,Russia v Switzerland,L,4-1,UEFA European Championship
1949-05-26,Switzerland v Wales,W,4-0,International Friendly
1951-06-24,Yugoslavia v Switzerland,L,7-3,International Friendly
1998-09-02,Yugoslavia v Switzerland,D,1-1,International Friendly
1972-11-16,Tunisia v Algeria,L,1-2,International Friendly
1974-05-12,Algeria v Tunisia,W,1-2,International Friendly
1974-10-03,Tunisia v Algeria,W,1-0,"Arab Cup, Damascus"
1975-03-23,Tunisia v Algeria,D,1-1,International Friendly
1975-04-06,Tunisia v Algeria,D,1-1,Africa Cup of Nations
1975-09-04,Algeria v Tunisia,L,2-1,Mediterranean Games
1976-11-04,Tunisia v Algeria,W,3-0,International Friendly
1977-02-06,Tunisia v Algeria,W,2-0,FIFA World Cup
1977-02-28,Algeria v Tunisia,D,1-1,FIFA World Cup
1972-02-20,Tunisia v Austria,D,3-3,International Friendly
1997-11-05,Tunisia v Bosnia and Herzegovina,W,2-1,International Friendly
1973-06-06,Tunisia v Brazil,L,1-4,International Friendly
1982-06-26,Tunisia v China PR,L,1-2,International Friendly
1960-07-17,Czech Republic v Tunisia,L,4-0,Under-23 v A
1972-12-08,Egypt v Tunisia,L,2-1,FIFA World Cup
1972-12-17,Tunisia v Egypt,W,2-0,FIFA World Cup
1973-08-15,Tunisia v Egypt,W,1-0,Palestine Cup
1974-09-28,Tunisia v Egypt,W,2-0,"Arab Cup, Damascus"
1977-03-13,Egypt v Tunisia,D,2-2,Africa Cup of Nations
1977-03-20,Tunisia v Egypt,W,3-2,Africa Cup of Nations
1977-11-25,Egypt v Tunisia,L,3-2,FIFA World Cup
1977-12-11,Tunisia v Egypt,W,4-1,FIFA World Cup
1971-10-07,Tunisia v France,W,2-1,Mediterranean Games
1972-04-09,Tunisia v France,W,2-1,A v Under-23
1978-05-19,France v Tunisia,L,2-0,International Friendly
1979-03-06,Tunisia v France,D,0-0,A v Under-21
1971-04-25,Tunisia v Germany,W,2-0,A v Amateur
1978-06-10,Germany v Tunisia,D,0-0,FIFA World Cup
1978-03-14,Ghana v Tunisia,L,1-0,Africa Cup of Nations
1959-01-01,Tunisia v Hungary,L,0-3,A v B
1978-05-20,Tunisia v Hungary,D,2-2,International Friendly
1973-08-23,Tunisia v Iraq,W,2-0,Palestine Cup
1974-06-09,Tunisia v Iraq,W,2-1,International Friendly
1959-06-07,Tunisia v Italy,L,1-2,International Friendly
1973-02-11,Tunisia v Ivory Coast,D,1-1,FIFA World Cup
1973-02-25,Ivory Coast v Tunisia,L,2-1,FIFA World Cup
1980-01-30,Ivory Coast v Tunisia,D,1-1,International Friendly
1988-12-12,Ivory Coast v Tunisia,D,1-1,International Friendly
1994-11-09,Tunisia v Ivory Coast,W,2-0,International Friendly
1996-01-25,Ivory Coast v Tunisia,W,1-3,Africa Cup of Nations
2012-01-13,Tunisia v Ivory Coast,L,0-2,International Friendly
2002-03-13,Tunisia v Korea Republic,D,0-0,International Friendly
1978-06-02,Mexico v Tunisia,W,1-3,FIFA World Cup
1974-10-01,Morocco v Tunisia,L,3-1,"Arab Cup, Damascus"
1975-03-02,Morocco v Tunisia,D,0-0,International Friendly
1975-08-31,Morocco v Tunisia,D,0-0,Mediterranean Games
1975-09-06,Tunisia v Morocco,D,1-1,Mediterranean Games
1976-12-12,Morocco v Tunisia,D,1-1,FIFA World Cup
1977-01-09,Tunisia v Morocco,W,1-1,FIFA World Cup
1978-03-06,Tunisia v Morocco,D,1-1,Africa Cup of Nations
1978-04-05,Tunisia v Netherlands,L,0-4,International Friendly
1973-08-21,Tunisia v Palestine,W,6-2,Palestine Cup
1983-03-08,Saudi Arabia v Tunisia,W,1-2,International Friendly
1988-07-11,Saudi Arabia v Tunisia,D,1-1,Arab Cup
1988-11-29,Saudi Arabia v Tunisia,L,1-0,International Friendly
2006-01-26,Tunisia v South Africa,W,2-0,Africa Cup of Nations
2008-01-27,Tunisia v South Africa,W,3-1,Africa Cup of Nations
1967-09-14,Tunisia v Spain,D,1-1,Mediterranean Games
1970-05-20,Tunisia v Spain,L,0-1,A v Amateur
1976-02-28,Tunisia v Sweden,D,1-1,International Friendly
1960-08-23,Tunisia v Turkey,D,2-2,International Friendly
1964-11-01,Turkey v Tunisia,L,4-1,International Friendly
1967-09-13,Tunisia v Turkey,D,1-1,Mediterranean Games
1968-03-13,Turkey v Tunisia,D,0-0,International Friendly
1971-10-09,Turkey v Tunisia,D,0-0,Mediterranean Games
1975-08-28,Turkey v Tunisia,D,0-0,Mediterranean Games
1981-12-27,United Arab Emirates v Tunisia,W,1-2,International Friendly
1981-12-29,United Arab Emirates v Tunisia,W,1-4,International Friendly
1999-10-16,Tunisia v United Arab Emirates,W,1-0,International Friendly
2000-03-12,USA v Tunisia,D,1-1,International Friendly
1967-08-26,Russia v Tunisia,L,2-1,Army v A
1977-03-20,Tunisia v Russia,L,0-3,International Friendly
1960-01-03,Tunisia v Yugoslavia,L,1-5,International Friendly
1960-08-06,Yugoslavia v Tunisia,L,7-0,International Friendly
1971-10-16,Yugoslavia v Tunisia,L,1-0,Mediterranean Games
1973-02-04,Tunisia v Yugoslavia,L,0-5,International Friendly
1974-03-04,Tunisia v Yugoslavia,L,0-2,A v OT
1975-08-24,Tunisia v Yugoslavia,W,3-2,Mediterranean Games
1976-02-18,Tunisia v Yugoslavia,W,2-1,International Friendly
1982-11-24,Tunisia v Yugoslavia,D,0-0,A v Amateur
1995-12-23,Zambia v Tunisia,L,2-0,International Friendly
1999-10-31,Tunisia v Zambia,W,2-1,International Friendly
2008-01-06,Tunisia v Zambia,L,1-2,International Friendly
2008-01-08,Tunisia v Zambia,W,1-0,International Friendly
2010-01-13,Zambia v Tunisia,D,1-1,Africa Cup of Nations
1972-10-04,Algeria v Turkey,L,1-0,International Friendly
1973-02-14,Turkey v Algeria,W,4-0,International Friendly
1974-11-13,Turkey v Austria,L,0-1,International Friendly
1977-04-17,Austria v Turkey,L,1-0,FIFA World Cup
1977-10-30,Turkey v Austria,L,0-1,FIFA World Cup
1972-04-12,Bulgaria v Turkey,L,4-2,*
1973-04-18,Turkey v Bulgaria,W,5-2,Balkan Cup
1974-05-08,Bulgaria v Turkey,L,5-1,Balkan Cup
1976-09-22,Bulgaria v Turkey,D,2-2,International Friendly
1977-02-16,Turkey v Bulgaria,W,2-0,Balkan Cup
1977-09-21,Bulgaria v Turkey,L,3-1,Balkan Cup
1978-09-28,Bulgaria v Turkey,L,3-1,B v A
1977-09-07,Czech Republic v Turkey,L,1-0,International Friendly
1971-10-15,Turkey v Egypt,W,1-0,Mediterranean Games
1976-08-25,Finland v Turkey,L,2-1,International Friendly
1977-04-06,Turkey v Finland,L,1-2,International Friendly
1971-09-30,Turkey v France,W,1-0,Mediterranean Games
1970-10-17,Germany v Turkey,D,1-1,UEFA European Championship
1971-04-25,Turkey v Germany,L,0-3,UEFA European Championship
1975-12-20,Turkey v Germany,L,0-5,International Friendly
1931-04-17,Turkey v Hungary,L,1-2,A v B
1932-04-22,Turkey v Hungary,L,1-4,A v B
1974-01-20,Iran v Turkey,W,0-1,RCD Cup
1976-02-08,Iraq v Turkey,D,0-0,International Friendly
1949-05-20,Turkey v Italy,L,2-3,Mediterranean Cup
1953-12-11,Turkey v Italy,L,0-1,Mediterranean Cup
1973-01-13,Italy v Turkey,D,0-0,FIFA World Cup
1973-02-25,Turkey v Italy,L,0-1,FIFA World Cup
2002-03-26,Turkey v Korea Republic,D,0-0,International Friendly
2002-06-29,Korea Republic v Turkey,W,2-3,FIFA World Cup
1975-08-24,Morocco v Turkey,L,1-0,Mediterranean Games
1974-11-20,Turkey v Republic of Ireland,D,1-1,UEFA European Championship
1975-10-29,Republic of Ireland v Turkey,L,4-0,UEFA European Championship
1976-10-13,Turkey v Republic of Ireland,D,3-3,International Friendly
1978-04-05,Republic of Ireland v Turkey,L,4-2,International Friendly
2014-05-25,Republic of Ireland v Turkey,W,1-2,International Friendly
1971-03-20,Romania v Turkey,D,0-0,*
1975-03-19,Turkey v Romania,D,1-1,International Friendly
1975-10-12,Romania v Turkey,D,2-2,International Friendly
1977-03-23,Romania v Turkey,L,4-0,Balkan Cup
1978-03-22,Turkey v Romania,D,1-1,Balkan Cup
1969-01-17,Saudi Arabia v Turkey,W,1-2,International Friendly
1980-10-03,Turkey v Saudi Arabia,W,3-0,Islam Oyunlari
1959-07-05,Spain v Turkey,L,2-0,Mediterranean Cup
1963-09-23,Turkey v Spain,D,3-3,Mediterranean Games
1967-09-17,Spain v Turkey,L,2-1,Mediterranean Games
1973-10-17,Turkey v Spain,D,0-0,50th Anniversary
1971-09-26,Switzerland v Turkey,L,4-0,International Friendly
1973-05-09,Switzerland v Turkey,D,0-0,FIFA World Cup
1973-11-18,Turkey v Switzerland,W,2-0,FIFA World Cup
1974-12-01,Turkey v Switzerland,W,2-1,UEFA European Championship
1975-04-30,Switzerland v Turkey,D,1-1,UEFA European Championship
1971-10-09,Turkey v Tunisia,D,0-0,Mediterranean Games
1996-05-01,Turkey v Ukraine,W,3-2,International Friendly
1924-10-16,Russia v Turkey,L,3-0,International Friendly
1925-05-15,Turkey v Russia,L,1-2,International Friendly
1933-07-30,Russia v Turkey,W,1-2,International Friendly
1969-03-11,Russia v Turkey,L,2-0,Vanskap (Friendship)
1975-04-02,Russia v Turkey,L,3-0,UEFA European Championship
1975-11-23,Turkey v Russia,W,1-0,UEFA European Championship
1978-10-05,Turkey v Russia,L,0-2,International Friendly
1981-10-07,Turkey v Russia,L,0-3,FIFA World Cup
1928-04-08,Yugoslavia v Turkey,L,2-1,International Friendly
1931-10-02,Yugoslavia v Turkey,W,0-2,Balkan Cup
1936-07-12,Turkey v Yugoslavia,D,3-3,International Friendly
1937-08-01,Yugoslavia v Turkey,L,3-1,International Friendly
1953-06-05,Turkey v Yugoslavia,D,2-2,International Friendly
1954-10-17,Yugoslavia v Turkey,L,5-1,International Friendly
1994-09-11,Korea Republic v Ukraine,L,1-0,International Friendly
1994-09-13,Korea Republic v Ukraine,L,2-0,International Friendly
1994-08-26,United Arab Emirates v Ukraine,D,1-1,International Friendly
1993-10-23,USA v Ukraine,W,0-1,International Friendly
2016-03-28,Ukraine v Wales,W,1-0,International Friendly
1970-04-08,Argentina v Uruguay,L,2-1,International Friendly
1970-04-15,Uruguay v Argentina,W,2-1,International Friendly
1971-07-14,Argentina v Uruguay,L,1-0,Copa Newton
1971-07-18,Uruguay v Argentina,D,1-1,Copa Lipton
1972-07-06,Argentina v Uruguay,L,1-0,Independence
1973-05-17,Argentina v Uruguay,D,1-1,Copa Lipton
1973-05-23,Uruguay v Argentina,D,1-1,Copa Newton
1975-07-18,Uruguay v Argentina,L,2-3,Copa Newton
1976-04-08,Argentina v Uruguay,L,4-1,Copa del Atlantico
1976-06-09,Uruguay v Argentina,L,0-3,Copa del Atlantico
1978-04-25,Uruguay v Argentina,W,2-0,International Friendly
1978-05-03,Argentina v Uruguay,L,3-0,International Friendly
1974-04-24,Australia v Uruguay,D,0-0,International Friendly
1974-04-27,Australia v Uruguay,L,2-0,International Friendly
1977-02-27,Bolivia v Uruguay,L,1-0,FIFA World Cup
1977-03-27,Uruguay v Bolivia,D,2-2,FIFA World Cup
1970-06-17,Uruguay v Brazil,L,1-3,FIFA World Cup
1976-02-25,Uruguay v Brazil,L,1-2,Copa del Atlantico
1976-04-28,Brazil v Uruguay,L,2-1,Copa del Atlantico
1974-06-19,Bulgaria v Uruguay,D,1-1,FIFA World Cup
1996-07-17,China PR v Uruguay,D,1-1,International Friendly
1973-06-24,Colombia v Uruguay,D,0-0,FIFA World Cup
1973-07-05,Uruguay v Colombia,L,0-1,FIFA World Cup
1975-09-21,Colombia v Uruguay,L,3-0,Copa America
1975-10-01,Uruguay v Colombia,W,1-0,Copa America
1976-10-15,Colombia v Uruguay,W,1-2,International Friendly
1959-12-08,Costa Rica v Uruguay,W,1-2,International Friendly
1991-05-14,Costa Rica v Uruguay,W,0-1,International Friendly
2014-11-13,Uruguay v Costa Rica,L,3-3,International Friendly
1973-07-01,Ecuador v Uruguay,W,1-2,FIFA World Cup
1973-07-08,Uruguay v Ecuador,W,4-0,FIFA World Cup
1976-09-24,Ecuador v Uruguay,D,2-2,International Friendly
1976-10-20,Ecuador v Uruguay,D,2-2,International Friendly
1977-01-04,Uruguay v Ecuador,D,1-1,International Friendly
1977-06-15,Uruguay v England,D,0-0,International Friendly
1970-06-20,Uruguay v Germany,L,0-1,FIFA World Cup
1977-06-08,Uruguay v Germany,L,0-2,International Friendly
1974-04-10,Guatemala v Uruguay,D,1-1,International Friendly
1974-03-23,Haiti v Uruguay,W,0-1,International Friendly
1974-03-27,Haiti v Uruguay,D,0-0,International Friendly
1974-04-14,Hong Kong v Uruguay,W,0-1,International Friendly
1970-06-02,Uruguay v Israel,W,2-0,FIFA World Cup
1973-07-19,Israel v Uruguay,W,1-2,International Friendly
1970-06-06,Uruguay v Italy,D,0-0,FIFA World Cup
1974-03-31,Jamaica v Uruguay,W,0-3,International Friendly
1973-08-14,Mexico v Uruguay,D,1-1,*
1974-06-15,Netherlands v Uruguay,L,2-0,FIFA World Cup
1995-06-28,Uruguay v New Zealand,D,2-2,International Friendly
1990-05-18,Northern Ireland v Uruguay,L,1-0,International Friendly
2006-05-21,Northern Ireland v Uruguay,W,0-1,International Friendly
1975-06-12,Paraguay v Uruguay,W,0-1,Copa Artigas
1975-06-19,Uruguay v Paraguay,L,0-1,Copa Artigas
1976-03-10,Uruguay v Paraguay,D,2-2,Copa del Atlantico
1976-05-19,Paraguay v Uruguay,L,1-0,Copa del Atlantico
1977-01-12,Paraguay v Uruguay,D,1-1,Copa Artigas
1977-01-23,Uruguay v Paraguay,W,2-1,Copa Artigas
1970-03-31,Uruguay v Peru,W,2-0,International Friendly
1970-04-18,Peru v Uruguay,L,4-2,International Friendly
1976-10-12,Peru v Uruguay,D,0-0,International Friendly
1976-11-24,Uruguay v Peru,D,0-0,International Friendly
1972-07-02,Uruguay v Portugal,D,1-1,Independence
1974-05-08,Uruguay v Republic of Ireland,W,2-0,International Friendly
1997-12-17,Uruguay v South Africa,W,4-3,FIFA Confederations Cup
1972-05-23,Spain v Uruguay,L,2-0,International Friendly
1978-05-24,Uruguay v Spain,D,0-0,International Friendly
1970-06-10,Uruguay v Sweden,L,0-1,FIFA World Cup
1974-06-23,Sweden v Uruguay,L,3-0,FIFA World Cup
1997-12-13,United Arab Emirates v Uruguay,W,0-2,FIFA Confederations Cup
1991-05-05,USA v Uruguay,L,1-0,International Friendly
1962-04-27,Russia v Uruguay,L,5-0,International Friendly
1964-05-20,Russia v Uruguay,L,1-0,International Friendly
1965-12-05,Uruguay v Russia,L,1-3,International Friendly
1970-06-14,Russia v Uruguay,W,0-1,FIFA World Cup
1972-06-29,Russia v Uruguay,L,1-0,Independence
1967-01-21,Uruguay v Venezuela,W,4-0,Copa America
1977-02-09,Venezuela v Uruguay,D,1-1,FIFA World Cup
1977-03-17,Uruguay v Venezuela,W,2-0,FIFA World Cup
1983-09-18,Venezuela v Uruguay,W,1-2,Copa America
1995-07-05,Uruguay v Venezuela,W,4-2,Copa America
2006-09-27,Venezuela v Uruguay,L,1-0,International Friendly
2006-10-18,Uruguay v Venezuela,W,4-0,International Friendly
2007-07-07,Venezuela v Uruguay,W,1-4,Copa America
1986-04-21,Wales v Uruguay,D,0-0,International Friendly
1930-07-27,Uruguay v Yugoslavia,W,6-1,FIFA World Cup
1980-03-22,Yugoslavia v Uruguay,L,2-1,International Friendly
1995-03-31,Yugoslavia v Uruguay,L,1-0,International Friendly
1975-08-21,Argentina v USA,L,6-0,Copa de Mexico
1972-08-20,Canada v USA,L,3-2,FIFA World Cup
1972-08-29,USA v Canada,D,2-2,FIFA World Cup
1973-08-05,Canada v USA,W,0-2,International Friendly
1976-09-24,Canada v USA,D,1-1,FIFA World Cup
1976-10-20,USA v Canada,W,2-0,FIFA World Cup
1976-12-22,Canada v USA,L,3-0,FIFA World Cup
1977-10-06,USA v China PR,D,1-1,International Friendly
1977-10-10,USA v China PR,W,1-0,International Friendly
1977-10-16,USA v China PR,W,2-1,International Friendly
1992-04-04,USA v China PR,W,5-0,International Friendly
1997-01-29,China PR v USA,L,2-1,International Friendly
1997-02-01,China PR v USA,D,1-1,International Friendly
1975-08-19,Costa Rica v USA,L,3-1,Copa de Mexico
1985-05-31,USA v Costa Rica,L,0-1,FIFA World Cup
1989-04-30,USA v Costa Rica,W,1-0,FIFA World Cup
1991-11-24,USA v Costa Rica,D,1-1,International Friendly
1993-07-21,USA v Costa Rica,W,1-0,CONCACAF Gold Cup
2003-07-26,USA v Costa Rica,W,3-2,CONCACAF Gold Cup
2009-06-03,Costa Rica v USA,L,3-1,FIFA World Cup
2013-07-16,USA v Costa Rica,W,1-0,CONCACAF Gold Cup
1977-09-15,El Salvador v USA,W,1-2,International Friendly
1977-09-22,El Salvador v USA,W,0-1,International Friendly
1977-09-30,USA v El Salvador,D,0-0,International Friendly
1993-12-05,USA v El Salvador,W,7-0,International Friendly
1996-01-16,USA v El Salvador,W,2-0,CONCACAF Gold Cup
2002-11-17,USA v El Salvador,W,2-0,International Friendly
1977-09-18,Guatemala v USA,L,3-1,International Friendly
1977-09-25,Guatemala v USA,L,2-0,International Friendly
1973-11-03,Haiti v USA,L,1-0,International Friendly
1973-11-05,Haiti v USA,L,1-0,International Friendly
1976-11-10,Haiti v USA,D,0-0,International Friendly
1976-11-12,Haiti v USA,D,0-0,International Friendly
1976-11-14,Haiti v USA,D,0-0,International Friendly
1989-06-19,USA v Hungary,L,0-1,Presidents Cup
1973-11-13,Israel v USA,L,3-1,International Friendly
1973-11-15,Israel v USA,L,2-0,International Friendly
1975-01-06,Israel v USA,L,3-0,International Friendly
1975-01-15,Israel v USA,L,1-0,International Friendly
1975-04-04,Italy v USA,L,10-0,Unofficial
1992-10-19,USA v Ivory Coast,W,5-2,FIFA Confederations Cup
1991-10-19,USA v Korea DPR,L,1-2,International Friendly
1987-06-12,Korea Republic v USA,L,1-0,Presidents Cup
1994-03-05,USA v Korea Republic,W,1-0,International Friendly
1994-03-12,USA v Korea Republic,D,1-1,International Friendly
2001-12-09,Korea Republic v USA,L,1-0,International Friendly
2014-02-01,USA v Korea Republic,W,2-0,International Friendly
1972-09-03,Mexico v USA,L,3-1,FIFA World Cup
1972-09-10,USA v Mexico,L,1-2,FIFA World Cup
1973-10-16,Mexico v USA,L,2-0,International Friendly
